SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGY,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU
62161,7,2,1,22,,3,3,2,,,2,,1,1,,,3,5,,1,1,2,1,2,2,1,2,2,1,102641.4065,104236.5826,1,91,14,14,3.15,5,5,0,1,0,2,50,1,5,1,5
62162,7,2,2,3,,1,1,1,3,41,,,1,1,,,,,,1,1,2,1,2,2,,,,,15457.7369,16116.35401,3,92,4,4,0.6,6,6,2,2,0,2,24,1,3,6,
62163,7,2,1,14,,5,6,2,14,177,,,1,1,,8,,,,1,1,2,1,2,2,1,2,2,1,7397.684828,7869.485117,3,90,15,15,4.07,5,5,0,2,1,1,42,1,5,1,4
62164,7,2,2,44,,3,3,1,,,1,2,1,1,,,4,1,2,1,2,2,1,2,2,,,,,127351.3733,127965.2262,1,94,8,8,1.67,5,5,1,2,0,1,52,1,4,1,4
62165,7,2,2,14,,4,4,2,14,179,,,1,1,,7,,,,1,1,2,1,2,2,1,2,2,1,12209.74498,13384.04216,2,90,4,4,0.57,5,5,1,2,0,2,33,2,2,77,
62166,7,2,1,9,,3,3,2,10,120,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,,60593.63668,64068.12318,1,91,77,77,,6,6,0,4,0,1,44,1,5,1,5
62167,7,2,1,0,11,5,6,1,,12,,,1,1,,,,,,1,1,1,1,2,1,,,,,5024.464768,5303.683185,2,92,99,77,,7,4,3,3,1,1,61,2,1,1,3
62168,7,2,1,6,,5,7,1,6,81,,,1,1,,0,,,,1,1,2,1,2,2,,,,,5897.024603,6245.043868,2,103,14,14,3.48,5,5,0,2,1,1,43,1,4,1,5
62169,7,2,1,21,,5,6,1,,,2,,1,1,,,3,5,,1,2,1,,,,1,2,2,1,14391.77847,14783.60095,1,92,2,2,0.33,5,5,0,1,0,1,51,2,1,4,
62170,7,2,1,15,,5,7,1,15,181,,,1,1,,9,,,,1,1,2,1,2,2,1,2,2,1,7794.52699,8291.636582,3,91,15,15,5,4,4,0,2,0,1,38,2,5,1,5
62171,7,2,1,14,,1,1,1,14,175,,,1,1,,7,,,,1,1,2,2,2,2,1,2,2,1,22768.42362,22886.98039,3,92,9,9,2.46,4,4,0,2,0,1,43,2,3,1,4
62172,7,2,2,43,,4,4,1,,,2,,1,1,,,3,5,2,1,2,2,1,2,2,1,2,2,1,26960.77435,27122.91191,2,96,5,5,2.02,1,1,0,0,0,2,43,1,3,5,
62173,7,2,2,2,,1,1,1,2,28,,,1,1,,,,,,2,1,2,2,2,2,,,,,11401.93401,12203.05842,1,95,13,13,,5,5,3,0,0,2,33,2,1,1,2
62174,7,2,1,80,,3,3,2,,,1,1,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,24912.66843,27335.89524,3,90,10,10,4.3,2,2,0,0,2,2,80,1,4,1,5
62175,7,2,1,5,,3,3,1,6,72,,,1,1,,,,,,1,1,2,1,2,2,,,,,26980.60513,30440.53448,1,94,3,3,0.39,6,6,2,2,0,2,25,1,4,1,2
62176,7,2,2,34,,3,3,2,,,2,,1,1,,,5,1,2,1,2,2,1,2,2,1,2,2,1,53830.59943,54203.15502,1,99,15,15,5,5,5,3,0,0,2,34,1,5,1,5
62177,7,2,1,51,,5,6,1,,,2,,2,2,3,,3,1,,1,2,1,1,2,1,,,,,7879.750437,7851.284287,2,92,99,77,,7,4,3,3,1,1,61,2,1,1,3
62178,7,2,1,80,,3,3,2,,,1,1,1,1,,,3,2,,1,2,2,1,2,2,1,2,2,,12291.15452,13189.87501,1,95,1,1,0.05,1,1,0,0,1,1,80,1,3,2,
62179,7,2,1,55,,5,6,1,,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,16590.07498,17115.36835,1,92,15,15,5,4,4,0,2,0,1,55,1,5,1,5
62180,7,2,1,35,,3,3,2,,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,1,20457.61492,22616.49483,1,97,5,5,0.87,4,4,2,0,0,1,35,1,5,1,5
62181,7,2,1,9,,1,1,1,9,118,,,1,1,,3,,,,2,1,2,2,2,2,1,2,2,,13822.149,14860.20134,3,92,4,4,0.55,6,6,0,4,0,1,36,2,1,1,3
62182,7,1,1,75,,3,3,,,,2,,1,1,,,5,1,,1,2,2,1,2,2,,,,,63069.10722,0,1,90,12,12,,2,2,0,0,2,1,75,1,5,1,4
62183,7,2,1,6,,4,4,1,6,81,,,1,1,,0,,,,1,1,2,1,2,2,,,,,10138.00454,10211.52145,1,100,14,14,3.6,4,4,1,1,0,1,41,1,4,1,5
62184,7,2,1,26,,4,4,1,,,2,,1,1,,,3,5,,1,2,2,1,2,2,1,2,2,1,15600.67877,15236.26157,2,95,15,15,3.85,7,7,0,3,1,2,62,1,4,2,
62185,7,2,1,16,,1,1,1,16,201,,,1,1,,10,,,,2,2,2,2,2,2,,,,,18635.32322,19040.14529,2,103,77,77,,5,5,0,2,0,2,45,2,4,5,
62186,7,2,2,17,,4,4,1,17,205,2,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,11224.04137,11682.36502,1,96,5,5,0.53,7,7,2,2,0,2,38,1,9,6,
62187,7,2,2,9,,1,1,1,9,115,,,1,1,,3,,,,2,1,2,1,2,2,1,2,2,2,10118.36322,11093.37122,2,103,77,77,,7,7,0,4,0,1,38,2,1,6,
62188,7,2,1,2,,2,2,1,2,26,,,1,1,,,,,,2,1,2,2,2,2,,,,,11793.94846,12167.27893,1,100,5,5,0.78,6,5,1,2,0,2,40,2,1,5,
62189,7,2,2,30,,5,6,1,,,2,,1,1,,,4,1,2,1,2,2,1,2,2,1,2,2,1,17983.23149,18657.92252,1,94,10,10,3.04,4,4,2,0,0,2,30,1,4,1,5
62190,7,2,2,15,,1,1,1,15,189,,,2,2,4,9,,,,2,1,2,2,2,2,1,2,2,1,20419.46524,21192.77468,2,102,6,3,0.54,6,4,0,4,0,2,43,2,1,5,
62191,7,2,1,70,,4,4,2,,,1,2,1,1,,,3,3,,1,2,2,1,2,2,1,2,2,,8661.769277,9105.621464,1,96,14,3,0.9,2,1,0,0,2,2,71,,,3,
62192,7,2,2,11,,1,1,2,11,141,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,14087.46943,14372.40651,2,97,7,7,2.05,3,3,0,2,0,2,45,1,5,2,
62193,7,2,1,17,,4,4,2,17,209,2,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,11386.69564,11908.64804,2,99,6,6,1.18,5,5,0,3,0,2,38,1,2,5,
62194,7,2,2,9,,3,3,2,9,113,,,1,1,,3,,,,1,1,2,1,2,2,1,2,2,1,36778.82244,37956.9006,1,99,15,15,5,5,5,0,3,0,2,43,1,5,1,5
62195,7,2,1,35,,4,4,2,,,2,,2,1,4,,4,6,,1,2,2,1,2,2,,,,,15842.10009,16468.99008,2,90,8,6,2.39,4,1,1,1,0,2,21,1,5,6,
62196,7,2,1,1,17,3,3,2,,18,,,1,1,,,,,,1,1,2,1,2,2,,,,,35830.68078,40425.52302,2,95,9,9,2.22,5,5,1,0,0,1,55,1,4,1,5
62197,7,2,2,16,,4,4,1,16,197,,,1,1,,10,,,,1,2,2,1,2,2,1,2,2,1,20015.72025,20424.69013,2,102,15,15,5,4,4,0,2,0,1,44,1,3,1,1
62198,7,2,1,7,,3,3,2,7,93,,,1,1,,1,,,,1,1,2,1,2,2,,,,,30754.60867,32212.77211,1,98,3,3,0.61,4,4,0,2,0,2,32,1,3,6,
62199,7,2,1,57,,3,3,1,,,2,,1,1,,,5,6,,1,2,2,1,2,2,1,2,2,1,127000.8529,130891.4312,2,92,15,15,5,2,1,0,0,0,1,57,1,5,6,
62200,7,2,1,42,,5,6,2,,,2,,2,1,7,,5,1,,1,2,2,1,2,2,1,2,2,1,19184.31683,20543.82235,1,97,15,15,4.07,5,5,0,3,0,1,42,2,5,1,5
